coefficient,robust_se,z_stat,p_value,significant_0.05,significant_0.01,model,outcome,index,feature,identified,feature_std,n_obs,n_clusters,n_features,working_correlation,fqi_iters,ridge_alpha,residual_sigma2,block
0.13194201568318037,,,,False,False,q_no_td_modify,fqi_target,0,intercept,False,0.0,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
-0.3944754722170911,0.06995819886386433,-5.638731108339761,1.71307793368253e-08,True,True,q_no_td_modify,fqi_target,1,weekday_vs_weekend,True,0.37267799624996495,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
0.017977670804220552,0.009645765986361573,1.8637888198448624,0.06235136640521001,False,False,q_no_td_modify,fqi_target,2,slot_pm,True,0.5,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
0.026524840588002575,0.0022128178881010924,11.986906256784016,4.161595385425588e-33,True,True,q_no_td_modify,fqi_target,3,E_w,True,1.304254359497784,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
0.010013915528795604,0.012406826194671292,0.8071295085197987,0.41959187285206345,False,False,q_no_td_modify,fqi_target,4,weekday_vs_weekend*E_w,True,0.8173766385968876,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
0.00159714551701899,0.0035588699694923858,0.4487788344924545,0.6535912085187678,False,False,q_no_td_modify,fqi_target,5,slot_pm*E_w,True,1.24209665953858,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
0.7895200703616816,0.00679127768896763,116.2550121671876,0.0,True,True,q_no_td_modify,fqi_target,6,b_hat,True,0.9733861701794696,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
0.405972045687549,0.03182855282535129,12.754964007166365,2.925098522327189e-37,True,True,q_no_td_modify,fqi_target,7,weekday_vs_weekend*b_hat,True,0.39765622401695877,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
0.0952614941700201,0.007354348320160468,12.95308435539827,2.25700178486674e-38,True,True,q_no_td_modify,fqi_target,8,slot_pm*b_hat,True,0.6885716939856715,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
-2.339899129621543e-15,,,,False,False,q_no_td_modify,fqi_target,9,b_tilde,False,0.0,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
-0.012491781988912262,0.0034369067881828497,-3.634600167762151,0.00027841207345370787,True,True,q_no_td_modify,fqi_target,10,M_Y_day1_fourSC_morning,True,0.9045480482706203,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
-0.0013564870875490541,0.004811041898109703,-0.28195287346843284,0.7779796462953463,False,False,q_no_td_modify,fqi_target,11,M_Y_day1_fourSC_afternoon,True,0.8233393080913793,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
0.14891264835752854,0.014012276516077971,10.627298725275878,2.2246276702661427e-26,True,True,q_no_td_modify,fqi_target,12,M_Y_day1_anticipated_affect,True,0.36328545173981047,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
0.017526053368160537,0.0031440503844022316,5.574355123285567,2.484484641702881e-08,True,True,q_no_td_modify,fqi_target,13,M_Y_day2_fourSC_morning,True,0.8211046479773916,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
-0.00013578917725573213,0.0056150906933762484,-0.024182900093833507,0.9807067178906135,False,False,q_no_td_modify,fqi_target,14,M_Y_day2_fourSC_afternoon,True,0.651815546713411,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
0.22466867082905104,0.020329495010800586,11.051365058979076,2.159066268902425e-28,True,True,q_no_td_modify,fqi_target,15,M_Y_day2_anticipated_affect,True,0.3885909484518898,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
0.006758081378326131,0.004199592601598243,1.6092230888668109,0.1075675695037007,False,False,q_no_td_modify,fqi_target,16,M_Y_day3_fourSC_morning,True,0.687031666018342,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
0.03869521991685885,0.00867429629032473,4.460905948073196,8.16139045514475e-06,True,True,q_no_td_modify,fqi_target,17,M_Y_day3_fourSC_afternoon,True,0.5906318078717212,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
0.23823171508745397,0.015871484820979262,15.01004586367082,6.31040578003372e-51,True,True,q_no_td_modify,fqi_target,18,M_Y_day3_anticipated_affect,True,0.38212381021604164,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
0.028017979538694164,0.006968507084382131,4.020657394679022,5.803595809593309e-05,True,True,q_no_td_modify,fqi_target,19,M_Y_day4_fourSC_morning,True,0.6183467243523599,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
0.025838714934791798,0.012995111934382018,1.9883410828058063,0.04677398006415809,True,False,q_no_td_modify,fqi_target,20,M_Y_day4_fourSC_afternoon,True,0.4665808137687488,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
0.34099237775930147,0.04741041041212526,7.192352371454948,6.368441167275748e-13,True,True,q_no_td_modify,fqi_target,21,M_Y_day4_anticipated_affect,True,0.34418237224921744,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
-0.009689668504952316,0.01726705582067887,-0.5611650651727238,0.5746850159195918,False,False,q_no_td_modify,fqi_target,22,M_Y_day5_fourSC_morning,True,0.45174964509242993,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
-0.06448526456029353,0.02270870526220556,-2.839671562764846,0.0045160003782103416,True,True,q_no_td_modify,fqi_target,23,M_Y_day5_fourSC_afternoon,True,0.348963072101355,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
0.23684847599563413,0.12019218948028741,1.9705812583976547,0.04877179207323191,True,False,q_no_td_modify,fqi_target,24,M_Y_day5_anticipated_affect,True,0.26523159735964513,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
-0.014813649295605129,0.031438189989551765,-0.4711991784682365,0.637498505327549,False,False,q_no_td_modify,fqi_target,25,M_Y_day6_fourSC_morning,True,0.2603525512935942,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
-4.938048346448708e-16,,,,False,False,q_no_td_modify,fqi_target,26,M_Y_day6_fourSC_afternoon,False,0.0,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
5.546376446481197e-17,,,,False,False,q_no_td_modify,fqi_target,27,M_Y_day6_anticipated_affect,False,0.0,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
-0.0076348457973460584,0.0035095155083784894,-2.175470026879467,0.029594911851143973,True,False,q_no_td_modify,fqi_target,28,M_E_day1_pageview_morning,True,0.9689852963928995,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
-0.003041993414995109,0.003327374764235602,-0.9142322793609172,0.36059480613762285,False,False,q_no_td_modify,fqi_target,29,M_E_day1_pageview_afternoon,True,1.0024724360057449,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
-0.07038700781745182,0.00889997655809556,-7.908673394586268,2.6014611864857644e-15,True,True,q_no_td_modify,fqi_target,30,M_E_day1_morning_fitbit_wear,True,0.5,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
-0.006947349100254617,0.006127397052588372,-1.1338173519079977,0.2568711708711756,False,False,q_no_td_modify,fqi_target,31,M_E_day1_daily_survey_complete,True,0.48449162124943546,3480,29,79,exchangeable,25,1.0,0.03198939813851203,beta
